serial_no,video_link,category,begin_time_stamp_in_min,end_time_stamp_in_min,,category
HemiColectomy_016,https://www.youtube.com/watch?v=YuccCj0kMok,HemiColectomy,"0,50","7,00",,HemiColectomy
CholeCystectomy_017,https://www.youtube.com/watch?v=ilnTw7rUvVs,CholeCystectomy,"0,40","5,55",,CholeCystectomy
CholeCystectomy_018,https://www.youtube.com/watch?v=KsWAcVM5u2c,CholeCystectomy,"0,40","5,35",,CholeCystectomy
CholeCystectomy_019,https://www.youtube.com/watch?v=N5Ks19VrOzo,CholeCystectomy,"1,00","3,45",,CholeCystectomy
CholeCystectomy_020,https://www.youtube.com/watch?v=9y0ir4xnT_g,CholeCystectomy,"0,15","2,40",,CholeCystectomy
CholeCystectomy_021,https://www.youtube.com/watch?v=_91OMrXZu1M,CholeCystectomy,"0,20","5,45",,CholeCystectomy
CholeCystectomy_022,https://www.youtube.com/watch?v=ia9niBeGJQg&t=212s,CholeCystectomy,"1,25","15,20",,CholeCystectomy
CholeCystectomy_023,https://www.youtube.com/watch?v=Wf7mMqeD-Zg,CholeCystectomy,"1,20","7,25",,CholeCystectomy
HemiColectomy_024,https://www.youtube.com/watch?v=Q7uAciuDzfg,HemiColectomy,"1,35","9,20",,HemiColectomy
HemiColectomy_025,https://www.youtube.com/watch?v=3vH6j451lBY,HemiColectomy,"0,30","17,55",,HemiColectomy
Splenectomy_026,https://www.youtube.com/watch?v=2g-Og3pxBiM,Splenectomy,"0,25","6,25",,Splenectomy
Splenectomy_027,https://www.youtube.com/watch?v=wQTh9cKpDxI,Splenectomy,"0,45","5,20",,Splenectomy
HemiColectomy_028,https://www.youtube.com/watch?v=8oAE_7hD2Ic,HemiColectomy,"14,30","50,00",,HemiColectomy
HemiColectomy_029,https://www.youtube.com/watch?v=iL198hZ_WI8,HemiColectomy,"00,30","2,20",,HemiColectomy
HemiColectomy_030,https://www.youtube.com/watch?v=bCRl1Qpi140,HemiColectomy,"00,00","17,00",,HemiColectomy
CholeCystectomy_031,https://www.youtube.com/watch?v=C5eW4RySjys,CholeCystectomy,"00,30","20,00",,CholeCystectomy
HemiColectomy_032,https://www.youtube.com/watch?v=tLdUqlz4afw,HemiColectomy,"00,30","10,30",,HemiColectomy
Anterior Resection_033,https://www.youtube.com/watch?v=HLumfw76HwM,Anterior Resection,"00,0","12,20",,Anterior Resection
Anterior Resection_034,https://www.youtube.com/watch?v=pwimI6nUrw0,Anterior Resection,"00,00","10,30",,Anterior Resection
Colectomy_035,https://www.youtube.com/watch?v=ibPIOa5sARA,Colectomy,"00,00","11,15",,Colectomy
Colectomy_036,https://www.youtube.com/watch?v=Sq3EykLivcE,Colectomy,"0,00","14,00",,Colectomy
Colectomy_037,https://www.youtube.com/watch?v=zRqs7_IsACg,Colectomy,"0,00","12,30",,Colectomy
Anterior Resection_038,https://www.youtube.com/watch?v=Ln9O1JHzhy4,Anterior Resection,"1,05","7,40",,Anterior Resection
CholeCystectomy_039,https://www.youtube.com/watch?v=QP2cPWjn7cw,CholeCystectomy,"0,00","14,10",,CholeCystectomy
appendectomy_040,https://www.youtube.com/watch?v=fjPh3I2zS7E,appendectomy,"0,20","5,40",,Appendectomy
appendectomy_041,https://www.youtube.com/watch?v=18eYVp244mQ&rco=1,appendectomy,"0,30","6,40",,Appendectomy
appendectomy_042,https://www.youtube.com/watch?v=s5lThMjgX7w&rco=1,appendectomy,"0,20","14,50",,Appendectomy
appendectomy_043,https://www.youtube.com/watch?v=_Lm_EUPxuGI&rco=1,appendectomy,"0,10","3,40",,Appendectomy
appendectomy_044,https://www.youtube.com/watch?v=8SzcKhI3NIk&rco=1,appendectomy,"2,20","9,10",,Appendectomy
appendectomy_045,https://www.youtube.com/watch?v=_yl9GqLGFd8&rco=1,appendectomy,"1,10","8,15",,Appendectomy
appendectomy_046,https://www.youtube.com/watch?v=R8xqwOscRts&rco=1,appendectomy,"1,10","6,20",,Appendectomy
appendectomy_047,https://www.youtube.com/watch?v=eH_WLmCiaaE&rco=1,appendectomy,"1,05","3,00",,Appendectomy
appendectomy_048,https://www.youtube.com/watch?v=0tNYteZi4wE&rco=1,appendectomy,"2,20","13,00",,Appendectomy
appendectomy_049,https://www.youtube.com/watch?v=bAZMFFGT0aY&rco=1,appendectomy,"1,20","5,50",,Appendectomy
appendectomy_050,https://www.youtube.com/watch?v=AD1TM9kf7ak&rco=1,appendectomy,"0,20","3,10",,Appendectomy
appendectomy_051,https://www.youtube.com/watch?v=J9mbWHnjsok&rco=1,appendectomy,"2,15","9,50",,Appendectomy
appendectomy_052,https://www.youtube.com/watch?v=enlUl13H3bA&rco=1,appendectomy,"2,30","6,00",,Appendectomy
appendectomy_053,https://www.youtube.com/watch?v=3r6MaNK_7ew&rco=1,appendectomy,"0,20","8,00",,Appendectomy
appendectomy_054,https://www.youtube.com/watch?v=4TO7gfdWMfc&rco=1,appendectomy,"0,10","4,00",,Appendectomy
appendectomy_055,https://www.youtube.com/watch?v=O3c4MMthSSo&rco=1,appendectomy,"0,15","4,15",,Appendectomy
appendectomy_056,https://www.youtube.com/watch?v=2UYmf46KK5M&rco=1,appendectomy,"0,20","5,50",,Appendectomy
appendectomy_057,https://www.youtube.com/watch?v=fDRosHtgHoU&rco=1,appendectomy,"0,30","8,40",,Appendectomy
appendectomy_058,https://www.youtube.com/watch?v=OM9NZWlbwpk&rco=1,appendectomy,"0,10","3,30",,Appendectomy
appendectomy_059,https://www.youtube.com/watch?v=AwRCrcifI70&rco=1,appendectomy,"0,25","4,40",,Appendectomy
appendectomy_060,https://www.youtube.com/watch?v=XjtE1GHq8Cw&rco=1,appendectomy,"0,20","4,50",,Appendectomy
appendectomy_061,https://www.youtube.com/watch?v=E8UPLNhr2B4&rco=1,appendectomy,"0,30","5,00",,Appendectomy
appendectomy_062,https://www.youtube.com/watch?v=1jMZX-Du2EE&rco=1,appendectomy,"0,20","5,30",,Appendectomy
appendectomy_063,https://www.youtube.com/watch?v=rGfu_yfHogs&rco=1,appendectomy,"0,25","10,30",,Appendectomy
appendectomy_064,https://www.youtube.com/watch?v=kU-PTfUzxv0&rco=1,appendectomy,"0,10","3,30",,Appendectomy
appendectomy_065,https://www.youtube.com/watch?v=g6Ye3CwNnmQ&rco=1,appendectomy,"0,10","5,30",,Appendectomy
appendectomy_066,https://www.youtube.com/watch?v=4AqH7aVhgR4&rco=1,appendectomy,"0,20","4,00",,Appendectomy
appendectomy_067,https://www.youtube.com/watch?v=gcFMU5wIw_U&rco=1,appendectomy,"0,30","8,40",,Appendectomy
appendectomy_068,https://www.youtube.com/watch?v=SuYMqVT2TUo&rco=1,appendectomy,"0,30","17,30",,Appendectomy
appendectomy_069,https://www.youtube.com/watch?v=F5Glai8DGRA&rco=1,appendectomy,"0,40","19,40",,Appendectomy
appendectomy_070,https://www.youtube.com/watch?v=64s_4LNhKJ8&rco=1,appendectomy,"0,10","4,00",,Appendectomy
appendectomy_071,https://www.youtube.com/watch?v=k0XYtSdXC2Q&rco=1,appendectomy,"0,05","2,40",,Appendectomy
appendectomy_072,https://www.youtube.com/watch?v=V1CHU6ymMNg,appendectomy,"0,10","6,55",,Appendectomy
appendectomy_073,https://www.youtube.com/watch?v=yObP9tm-sSo&rco=1,appendectomy,"0,10","15,40",,Appendectomy
appendectomy_074,https://www.youtube.com/watch?v=R3xbGBPG0f0&rco=1,appendectomy,"2,00","5,30",,Appendectomy
appendectomy_075,https://www.youtube.com/watch?v=_SO98EzSZBY&rco=1,appendectomy,"0,30","4,40",,Appendectomy
appendectomy_076,https://www.youtube.com/watch?v=mYXJLt_D9xA&rco=1,appendectomy,"1,20","7,10",,Appendectomy
appendectomy_077,https://www.youtube.com/watch?v=0FjDfiOQqQI&rco=1,appendectomy,"1,15","4,25",,Appendectomy
Hysterectomy_078,https://www.youtube.com/watch?v=UTRAt57UMjk&rco=1,Hysterectomy,"6,05","26,30",,Hysterectomy
Hysterectomy_079,https://www.youtube.com/watch?v=ua_o3qPNpMc&rco=1,Hysterectomy,"0,05","25,10",,Hysterectomy
Hysterectomy_080,https://www.youtube.com/watch?v=jpWRkN1Lbt4&rco=1,Hysterectomy,"0,20","19,30",,Hysterectomy
Hysterectomy_081,https://www.youtube.com/watch?v=7kFTv0tyuM0,Hysterectomy,"0,15","14,20",,Hysterectomy
Hysterectomy_082,https://www.youtube.com/watch?v=rpqt-q98l-k&rco=1,Hysterectomy,"0,40","11,00",,Hysterectomy
Hysterectomy_083,https://www.youtube.com/watch?v=awix050Jm9o,Hysterectomy,"5,00","21,10",,Hysterectomy
Hysterectomy_084,https://www.youtube.com/watch?v=qUV25O23I4M&rco=1,Hysterectomy,"2,10","31,10",,Hysterectomy
Hysterectomy_085,https://www.youtube.com/watch?v=uab8CTt8NF4&rco=1,Hysterectomy,"0,30","16,50",,Hysterectomy
Hysterectomy_086,https://www.youtube.com/watch?v=Hg76SBOCEMU,Hysterectomy,"0,20","26,50",,Hysterectomy
Hysterectomy_087,https://www.youtube.com/watch?v=i9vLtTZlmzA,Hysterectomy,"0,20","6,20",,Hysterectomy
Hysterectomy_088,https://www.youtube.com/watch?v=i9vLtTZlmzA&rco=1,Hysterectomy,"0,10","6,30",,Hysterectomy
Hysterectomy_089,https://www.youtube.com/watch?v=KMsMaNLBBos&rco=1,Hysterectomy,"0,30","6,00",,Hysterectomy
Hysterectomy_090,https://www.youtube.com/watch?v=5i2LCUJJYcM&rco=1,Hysterectomy,"1,30","8,30",,Hysterectomy
Hysterectomy_091,https://www.youtube.com/watch?v=mlp2hekjZNw&rco=1,Hysterectomy,"0,05","4,10",,Hysterectomy
Hysterectomy_092,https://www.youtube.com/watch?v=WN5FZe_cap0&rco=1,Hysterectomy,"1,10","3,30",,Hysterectomy
Hysterectomy_093,https://www.youtube.com/watch?v=pzpTsiJSQ3U,Hysterectomy,"0,20","14,30",,Hysterectomy
Hysterectomy_094,https://www.youtube.com/watch?v=QfnhZ0uSbAk&rco=1,Hysterectomy,"0,10","4,20",,Hysterectomy
Hysterectomy_095,https://www.youtube.com/watch?v=YlLy9V4M2f8&rco=1,Hysterectomy,"0,15","7,00",,Hysterectomy
Hysterectomy_096,https://www.youtube.com/watch?v=ZD1fdwAVmEw&rco=1,Hysterectomy,"0,05","28,10",,Hysterectomy
Hysterectomy_097,https://www.youtube.com/watch?v=jPi3uA4-r_U&rco=1,Hysterectomy,"0,20","27,10",,Hysterectomy
Hysterectomy_098,https://www.youtube.com/watch?v=jqViV3hbJ5U&rco=1,Hysterectomy,"5,10","12,20",,Hysterectomy
Hysterectomy_099,https://www.youtube.com/watch?v=XDzC9W26Jdw&rco=1,Hysterectomy,"0,10","19,40",,Hysterectomy
Hysterectomy_100,https://www.youtube.com/watch?v=3-omRRDXHbA&rco=1,Hysterectomy,"0,10","14,50",,Hysterectomy
Hysterectomy_101,https://www.youtube.com/watch?v=NlR92J6hMhk&rco=1,Hysterectomy,"0,40","24,20",,Hysterectomy
Hysterectomy_102,https://www.youtube.com/watch?v=HTndeQwg2Bk&rco=1,Hysterectomy,"0,10","15,30",,Hysterectomy
Hysterectomy_103,https://www.youtube.com/watch?v=usUPjMYTTVU&rco=1,Hysterectomy,"0,40","9,30",,Hysterectomy
Hysterectomy_104,https://www.youtube.com/watch?v=CTEjIR2RSGg&rco=1,Hysterectomy,"0,20","13,30",,Hysterectomy
Hysterectomy_105,https://www.youtube.com/watch?v=ShAdcLkxVZs,Hysterectomy,"0,30","18,00",,Hysterectomy
Hysterectomy_106,https://www.youtube.com/watch?v=We59HczAquk&rco=1,Hysterectomy,"0,05","5,40",,Hysterectomy
Hysterectomy_107,https://www.youtube.com/watch?v=teNq5vPVUGA&rco=1,Hysterectomy,"5,40","55,50",,Hysterectomy
Hysterectomy_108,https://www.youtube.com/watch?v=DO4YYM5rIiY&rco=1,Hysterectomy,"0,10","15,20",,Hysterectomy
Gastrectomy_109,https://www.youtube.com/watch?v=fecXdNs6rp0&rco=1,Gastrectomy,"1,00","12,20",,Gastrectomy
Gastrectomy_110,https://www.youtube.com/watch?v=xUv1GFxQaZk&rco=1,Gastrectomy,"1,30","34,00",,Gastrectomy
Gastrectomy_111,https://www.youtube.com/watch?v=ExC83UdR0X0&rco=1,Gastrectomy,"0,05","3,05",,Gastrectomy
Gastrectomy_112,https://www.youtube.com/watch?v=EMlxhICaG0s&rco=1,Gastrectomy,"1,05","5,25",,Gastrectomy
Gastrectomy_113,https://www.youtube.com/watch?v=3LJ0Oi5G_Co&rco=1,Gastrectomy,"1,00","11,50",,Gastrectomy
Gastrectomy_114,https://www.youtube.com/watch?v=d9YUTw3DiQ4&rco=1,Gastrectomy,"0,25","6,45",,Gastrectomy
Gastrectomy_115,https://www.youtube.com/watch?v=KM6UQzMwbWU,Gastrectomy,"2,00","8,50",,Gastrectomy
Gastrectomy_116,https://www.youtube.com/watch?v=srCQrVRjkz0&rco=1,Gastrectomy,"1,00","3,20",,Gastrectomy
Gastrectomy_117,https://www.youtube.com/watch?v=xjnCC3gIpEE&rco=1,Gastrectomy,"2,10","5,30",,Gastrectomy
Gastrectomy_118,https://www.youtube.com/watch?v=3csL9KfngG0&rco=1,Gastrectomy,"0,30","5,50",,Gastrectomy
Gastrectomy_119,https://www.youtube.com/watch?v=bL0bOBBwies&rco=1,Gastrectomy,"2,40","14,00",,Gastrectomy
Gastrectomy_120,https://www.youtube.com/watch?v=U-T7amTUNN4&rco=1,Gastrectomy,"0,50","5,00",,Gastrectomy
Gastrectomy_121,https://www.youtube.com/watch?v=11ZhEoKbVmU&rco=1,Gastrectomy,"0,30","9,40",,Gastrectomy
Gastrectomy_122,https://www.youtube.com/watch?v=Gsse_H7TTmg&rco=1,Gastrectomy,"1,10","6,30",,Gastrectomy
Gastrectomy_123,https://www.youtube.com/watch?v=XN6o2ri8pCc&rco=1,Gastrectomy,"2,40","22,30",,Gastrectomy
Gastrectomy_124,https://www.youtube.com/watch?v=k8SXVrKx_JM&rco=1,Gastrectomy,"1,00","5,50",,Gastrectomy
Gastrectomy_125,https://www.youtube.com/watch?v=aGFyA_yKTHQ&rco=1,Gastrectomy,"2,40","13,10",,Gastrectomy
Gastrectomy_126,https://www.youtube.com/watch?v=YqntMXDFMX0&rco=1,Gastrectomy,"3,30","8,30",,Gastrectomy
Gastrectomy_127,https://www.youtube.com/watch?v=kf0M5PHygq4&rco=1,Gastrectomy,"5,00","22,10",,Gastrectomy
Gastrectomy_128,https://www.youtube.com/watch?v=sfLHxneuOEM&rco=1,Gastrectomy,"0,20","5,30",,Gastrectomy
Gastrectomy_129,https://www.youtube.com/watch?v=yMGYJ6uCp3w&rco=1,Gastrectomy,"0,50","9,00",,Gastrectomy
Gastrectomy_130,https://www.youtube.com/watch?v=u2vHaisOp3U&rco=1,Gastrectomy,"1,20","5,20",,Gastrectomy
Gastrectomy_131,https://www.youtube.com/watch?v=_6umSOX7WLQ,Gastrectomy,"0,45","4,10",,Gastrectomy
Gastrectomy_132,https://www.youtube.com/watch?v=8td95zSP0eQ,Gastrectomy,"1,00","7,20",,Gastrectomy
Gastrectomy_133,https://www.youtube.com/watch?v=7d1WO2hPT_M&rco=1,Gastrectomy,"1,00","6,30",,Gastrectomy
Gastrectomy_134,https://www.youtube.com/watch?v=GRwnQ_dpNCc&rco=1,Gastrectomy,"0,40","7,20",,Gastrectomy
Gastrectomy_135,https://www.youtube.com/watch?v=74x2Tde-aWs&rco=1,Gastrectomy,"0,40","5,20",,Gastrectomy
Gastrectomy_136,https://www.youtube.com/watch?v=4tLedvVUx2g&rco=1,Gastrectomy,"0,40","47,00",,Gastrectomy
Gastrectomy_137,https://www.youtube.com/watch?v=qrpKP6NkeYc&rco=1,Gastrectomy,"4,10","15,40",,Gastrectomy
Gastrectomy_138,https://www.youtube.com/watch?v=Kbvi-MhqHlQ&rco=1,Gastrectomy,"0,30","5,40",,Gastrectomy
Gastrectomy_139,https://www.youtube.com/watch?v=BKE0PnizfV4&rco=1,Gastrectomy,"0,10","11,40",,Gastrectomy
Gastrectomy_140,https://www.youtube.com/watch?v=LJGzGCnZkrg&rco=1,Gastrectomy,"0,30","7,40",,Gastrectomy
Gastrectomy_141,https://www.youtube.com/watch?v=CD1afDem8yM&rco=1,Gastrectomy,"1,30","7,00",,Gastrectomy
Gastrectomy_142,https://www.youtube.com/watch?v=n8Ph9NOkkF8&rco=1,Gastrectomy,"1,10","5,30",,Gastrectomy
Gastrectomy_143,https://www.youtube.com/watch?v=_8-r40vUWc4&rco=1,Gastrectomy,"1,00","8,10",,Gastrectomy
Gastrectomy_144,https://www.youtube.com/watch?v=HZuruzJje8U&rco=1,Gastrectomy,"0,05","8,30",,Gastrectomy
Gastrectomy_145,https://www.youtube.com/watch?v=12dWPQugWuQ&rco=1,Gastrectomy,"0,40","7,10",,Gastrectomy
Cystectomy_146,https://www.youtube.com/watch?v=tYw2TqWEGds&rco=1,Cystectomy,"1,00","16,10",,Cystectomy
oophorectomy_147,https://www.youtube.com/watch?v=m43zBXvCG6c&rco=1,oophorectomy,"0,20","10,20",,Oophorectomy
Cystectomy_148,https://www.youtube.com/watch?v=cbXRFwbyX9g&rco=1,Cystectomy,"0,40","7,50",,Cystectomy
Cystectomy_149,https://www.youtube.com/watch?v=jOFXzMbeAps&rco=1,Cystectomy,"1,10","8,50",,Cystectomy
Nephrectomy_150,https://www.youtube.com/watch?v=_iNAmCfb9L0&rco=1,Nephrectomy,"1,30","10,20",,Nephrectomy
Nephrectomy_151,https://www.youtube.com/watch?v=HgG76pGgwoQ&rco=1,Nephrectomy,"0,40","19,20",,Nephrectomy
Nephrectomy_152,https://www.youtube.com/watch?v=gNM0XXjtCco&rco=1,Nephrectomy,"0,40","13,40",,Nephrectomy
Nephrectomy_153,https://www.youtube.com/watch?v=Q6XyfW4si-k&rco=1,Nephrectomy,"0,20","10,50",,Nephrectomy
Cystectomy_154,https://www.youtube.com/watch?v=H4fjQbE0KbI&rco=1,Cystectomy,"0,10","2,10",,Cystectomy
Cystectomy_155,https://www.youtube.com/watch?v=iZtGnPIfQ3k&rco=1,Cystectomy,"0,10","1,20",,Cystectomy
Cystectomy_156,https://www.youtube.com/watch?v=TwmRiQCywQc&rco=1,Cystectomy,"0,15","15,20",,Cystectomy
Cystectomy_157,https://www.youtube.com/watch?v=CmMGve4tfHk,Cystectomy,"2,00","3,40",,Cystectomy
Cystectomy_158,https://www.youtube.com/watch?v=2dq_oU2q_WU,Cystectomy,"0,20","11,10",,Cystectomy
laparoscopic_intracorporeal_159,https://www.youtube.com/watch?v=PkI2vuVrRFI,laparoscopic_intracorporeal,"0,50","7,50",,Laparoscopic Intracorporeal
Cystectomy_160,https://www.youtube.com/watch?v=9HKGf3lPvcw,Cystectomy,"0,20","7,00",,Cystectomy
Cystectomy_161,https://www.youtube.com/watch?v=9uZKeCHMFGY,Cystectomy,"0,10","8,10",,Cystectomy
Cystectomy_162,https://www.youtube.com/watch?v=YpdHNXzIHH4,Cystectomy,"0,40","5,00",,Cystectomy
Cystectomy_163,https://www.youtube.com/watch?v=gtAc6PdVuv4,Cystectomy,"0,40","12,20",,Cystectomy
Cystectomy_164,https://www.youtube.com/watch?v=oshr6DyePCE,Cystectomy,"0,20","6,40",,Cystectomy
Cystectomy_165,https://www.youtube.com/watch?v=ENvNNncnSUc,Cystectomy,"0,30","16,30",,Cystectomy
Cystectomy_166,https://www.youtube.com/watch?v=7P-FaMTbjCQ,Cystectomy,"0,10","4,30",,Cystectomy
Cystectomy_167,https://www.youtube.com/watch?v=W1rISsDvWbs,Cystectomy,"0,05","0,50",,Cystectomy
Cystectomy_168,https://www.youtube.com/watch?v=ZIOIy4Q5Bms&rco=1,Cystectomy,"1,10","6,20",,Cystectomy
Cystectomy_169,https://www.youtube.com/watch?v=IVNnDvzMUeU&rco=1,Cystectomy,"2,20","19,40",,Cystectomy
Cystectomy_170,https://www.youtube.com/watch?v=DLkUR0QdRoE&rco=1,Cystectomy,"0,20","15,40",,Cystectomy
Cystectomy_171,https://www.youtube.com/watch?v=ENvNNncnSUc&rco=1,Cystectomy,"0,40","16,30",,Cystectomy
Cystectomy_172,https://www.youtube.com/watch?v=bw12oGPOF9Y&rco=1,Cystectomy,"0,50","5,50",,Cystectomy
Cystectomy_173,https://www.youtube.com/watch?v=KD9iQ6KW0iE&rco=1,Cystectomy,"0,10","7,40",,Cystectomy
Hysterectomy_174,https://www.youtube.com/watch?v=x452vRG_pA4&rco=1,Hysterectomy,"0,10","7,30",,Hysterectomy
oophorectomy_175,https://www.youtube.com/watch?v=KdfKnoUOJ5w&rco=1,oophorectomy,"0,20","21,30",,Oophorectomy
anatomy_176,https://www.youtube.com/watch?v=WFS-IUxVQL0&rco=1,anatomy,"0,40","9,30",,Others
anatomy_177,https://www.youtube.com/watch?v=O5D4NExFx-I&rco=1,anatomy,"8,30","15,40",,Others
Endometriomas_178,https://www.youtube.com/watch?v=TJSgIrvUQr8&t=15s,Endometriomas,"0,20","11,30",,Endometriomas
Myomectomy_179,https://www.youtube.com/watch?v=dV8URUkx-8I,Myomectomy,"0,10","6,40",,Myomectomy
Endometriomas_180,https://www.youtube.com/watch?v=ZM527dC1mcM,Endometriomas,"0,20","11,50",,Endometriomas
Endometriomas_181,https://www.youtube.com/watch?v=91TwVHkRtCg&rco=1,Endometriomas,"0,10","6,50",,Endometriomas
oophorectomy_182,https://www.youtube.com/watch?v=XYb06nTUqvs&rco=1,oophorectomy,"0,20","6,40",,Oophorectomy
oophorectomy_183,https://www.youtube.com/watch?v=RAuBCDsgQz8&rco=1,oophorectomy,"0,30","10,40",,Oophorectomy
oophorectomy_184,https://www.youtube.com/watch?v=KbJY0ZqP0LE&rco=1,oophorectomy,"0,00","1,20",,Oophorectomy
Splenectomy_185,https://www.youtube.com/watch?v=Wf7mMqeD-Zg&ab_channel=ColorectalDiseaseJournal,Splenectomy,"1,20","7,30",,Splenectomy
Splenectomy_186,https://www.youtube.com/watch?v=jeJUUc5uouo&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Splenectomy,"12,50","6,00",,Splenectomy
Splenectomy_187,https://www.youtube.com/watch?v=HzcEnloTf18&ab_channel=ColorectalDiseaseJournal,Splenectomy,"1,10","6,20",,Splenectomy
Splenectomy_188,https://www.youtube.com/watch?v=zrB4i32ORhs&ab_channel=AjayKriplani,Splenectomy,"2,15","10,55",,Splenectomy
Splenectomy_189,https://www.youtube.com/watch?v=SzUOduZEMrA&ab_channel=Dr.R.K.Mishra,Splenectomy,"23,10","42,20",,Splenectomy
Splenectomy_190,https://www.youtube.com/watch?v=VrugfC7au0k&ab_channel=medXclusiveLearning,Splenectomy,"1,00","8,20",,Splenectomy
Splenectomy_191,https://www.youtube.com/watch?v=kukSy_kZydI&ab_channel=MaxHealthcare,Splenectomy,"0,00","1,40",,Splenectomy
Splenectomy_192,https://www.youtube.com/watch?v=iEZjmZTxlfk&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Splenectomy,"0,30","6,30",,Splenectomy
Splenectomy_193,https://www.youtube.com/watch?v=2g-Og3pxBiM&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Splenectomy,"0,20","6,30",,Splenectomy
Splenectomy_194,https://www.youtube.com/watch?v=K6nXCTd5vJo&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Splenectomy,"0,55","4,30",,Splenectomy
Splenectomy_195,https://www.youtube.com/watch?v=e-2DqFoKTHk&ab_channel=AsianInstituteofNephrology%26Urology,Splenectomy,"1,00","5,10",,Splenectomy
Splenectomy_196,https://www.youtube.com/watch?v=SD6os6fkqpY&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Splenectomy,"1,15","6,30",,Splenectomy
Splenectomy_197,https://www.youtube.com/watch?v=uPdvAJGk1mM&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Splenectomy,"1,40","5,15",,Splenectomy
Nephrectomy_198,https://www.youtube.com/watch?v=_iNAmCfb9L0&ab_channel=WeillCornellUrology,Nephrectomy,"1,10","10,30",,Nephrectomy
Prostatectomy_199,https://www.youtube.com/watch?v=6V-GR7QR-Lk&ab_channel=RoboticSurgeryAcademy,Prostatectomy,"0,10","53,15",,Prostatectomy
CholeCystectomy_200,https://www.youtube.com/watch?v=NqBQYlSV1jQ&ab_channel=WUSTLLearnSurgery,CholeCystectomy,"3,15","16,20",,CholeCystectomy
pancreatectomy_201,https://www.youtube.com/watch?v=eurwkjhuY_o&ab_channel=SanthoshAnand,pancreatectomy,"0,25","17,00",,Pancreatectomy
HemiColectomy_202,https://www.youtube.com/watch?v=K8tQRVaikic&ab_channel=ColorectalDiseaseJournal,HemiColectomy,"0,30","8,30",,HemiColectomy
Colectomy_203,https://www.youtube.com/watch?v=90Qqg-1R3f4&ab_channel=ColorectalDiseaseJournal,Colectomy,"0,45","11,50",,Colectomy
HemiColectomy_204,https://www.youtube.com/watch?v=W0hXlLk2JOk&ab_channel=Dr.RahulMahadar,HemiColectomy,"6,00","29,55",,HemiColectomy
Splenectomy_205,https://www.youtube.com/watch?v=QQq8_SIkqk0&ab_channel=ColorectalDiseaseJournal,Splenectomy,"2,25","4,40",,Splenectomy
Adrenalectomy_206,https://www.youtube.com/watch?v=VnIPVbQh6nQ&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Adrenalectomy,"2,25","5,40",,Adrenalectomy
Gastrectomy_207,https://www.youtube.com/watch?v=fecXdNs6rp0&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Gastrectomy,"1,10","12,20",,Gastrectomy
